size,seed,max_time,w_start,w_end,w_step,manhattan,length,openings,found,solutions,name
"(1000, 1000)",7,60.0,2.5,1.0,0.25,False,52985.0,0,True,"[(1.131113052368164, 52985), (2.2919840812683105, 52985), (3.4650936126708984, 52985), (4.639371871948242, 52985), (5.894623517990112, 52985), (7.044550657272339, 52985), (8.3254714012146, 52985)]",AW-A*
"(1000, 1000)",7,60.0,1.0,1.0,0.25,False,52985.0,0,True,"[(1.231776237487793, 52985)]",A*
"(1000, 1000)",7,60.0,,,0.5,True,inf,0,True,"[(1.220155954360962, 52985), (2.549014091491699, 52985), (3.858018636703491, 52985), (5.131959676742554, 52985), (6.4294517040252686, 52985), (7.750569581985474, 52985), (9.036338329315186, 52985), (10.391817331314087, 52985), (11.64078950881958, 52985), (12.93800687789917, 52985), (14.277038097381592, 52985), (15.55884051322937, 52985), (16.878023862838745, 52985), (18.229560375213623, 52985), (19.509700059890747, 52985), (20.810070991516113, 52985), (22.11962056159973, 52985), (23.374330759048462, 52985), (24.67608070373535, 52985), (25.933510541915894, 52985), (27.24733304977417, 52985), (28.592166900634766, 52985), (29.843971967697144, 52985), (31.144554376602173, 52985), (32.46692514419556, 52985), (33.7294237613678, 52985), (35.033300161361694, 52985), (36.37087440490723, 52985), (37.63692045211792, 52985), (38.9592022895813, 52985), (40.215962171554565, 52985), (41.505961179733276, 52985), (42.824719190597534, 52985), (44.09589886665344, 52985), (45.40594983100891, 52985), (46.71483826637268, 52985), (48.0107364654541, 52985), (49.33073973655701, 52985), (50.640894174575806, 52985), (51.898563861846924, 52985), (53.20080304145813, 52985), (54.47275519371033, 52985), (55.78575682640076, 52985), (57.08987283706665, 52985), (58.39292573928833, 52985), (59.690414905548096, 52985)]",Greedy Best First
"(1000, 1000)",7,60.0,2.5,1.0,0.5,True,52985.0,0,True,"[(1.18623948097229, 52985), (2.3858540058135986, 52985), (3.6081624031066895, 52985), (4.772836208343506, 52985)]",AW-A*
"(1000, 1000)",7,60.0,1.0,1.0,0.5,True,52985.0,0,True,"[(1.255181074142456, 52985)]",A*
"(1000, 1000)",7,60.0,,,0.5,False,inf,0,True,"[(1.2192299365997314, 52985), (2.505016326904297, 52985), (3.8080406188964844, 52985), (5.055537223815918, 52985), (6.347691535949707, 52985), (7.652281761169434, 52985), (8.90134072303772, 52985), (10.219493627548218, 52985), (11.47020435333252, 52985), (12.751688003540039, 52985), (14.055562496185303, 52985), (15.300483703613281, 52985), (16.58756113052368, 52985), (17.886165618896484, 52985), (19.1309757232666, 52985), (20.4529230594635, 52985), (21.75350260734558, 52985), (23.006808757781982, 52985), (24.30921769142151, 52985), (25.55473279953003, 52985), (26.838375329971313, 52985), (28.145566701889038, 52985), (29.39061689376831, 52985), (30.711732625961304, 52985), (31.95108151435852, 52985), (33.23257613182068, 52985), (34.530285358428955, 52985), (35.7731511592865, 52985), (37.058409214019775, 52985), (38.35378861427307, 52985), (39.600282192230225, 52985), (40.914794921875, 52985), (42.210169076919556, 52985), (43.455119609832764, 52985), (44.74524688720703, 52985), (46.04668474197388, 52985), (47.29189872741699, 52985), (48.58114314079285, 52985), (49.88462495803833, 52985), (51.16339707374573, 52985), (52.45917296409607, 52985), (53.7033314704895, 52985), (54.993104696273804, 52985), (56.29616928100586, 52985), (57.54219198226929, 52985), (58.82936716079712, 52985)]",Greedy Best First
"(1000, 1000)",7,60.0,2.5,1.0,0.5,False,52985.0,0,True,"[(1.1852214336395264, 52985), (2.3817906379699707, 52985), (3.6075687408447266, 52985), (4.77285623550415, 52985)]",AW-A*
"(1000, 1000)",7,60.0,1.0,1.0,0.5,False,52985.0,0,True,"[(1.2513675689697266, 52985)]",A*
"(1000, 1000)",7,120.0,,,0.25,True,inf,0,True,"[(1.2251136302947998, 52985), (2.547255277633667, 52985), (3.8540706634521484, 52985), (5.102323293685913, 52985), (6.407232761383057, 52985), (7.709320068359375, 52985), (8.960136413574219, 52985), (10.251493692398071, 52985), (11.602391958236694, 52985), (12.875811100006104, 52985), (14.185892820358276, 52985), (15.490776777267456, 52985), (16.757097959518433, 52985), (18.05751609802246, 52985), (19.36587643623352, 52985), (20.649918794631958, 52985), (21.95896553993225, 52985), (23.293565034866333, 52985), (24.5528781414032, 52985), (25.850884437561035, 52985), (27.099502325057983, 52985), (28.428887367248535, 52985), (29.729616403579712, 52985), (30.98016619682312, 52985), (32.31112742424011, 52985), (33.615782260894775, 52985), (34.86615777015686, 52985), (36.205244302749634, 52985), (37.51675033569336, 52985), (38.79734516143799, 52985), (40.1234347820282, 52985), (41.43462657928467, 52985), (42.74469041824341, 52985), (44.06376099586487, 52985), (45.31615138053894, 52985), (46.620198011398315, 52985), (47.92555117607117, 52985), (49.199907064437866, 52985), (50.49395680427551, 52985), (51.815816164016724, 52985), (53.09668278694153, 52985), (54.39216208457947, 52985), (55.699121952056885, 52985), (56.95214653015137, 52985), (58.25163269042969, 52985), (59.49954319000244, 52985), (60.78789281845093, 52985), (62.126784563064575, 52985), (63.3744637966156, 52985), (64.66856622695923, 52985), (65.97609543800354, 52985), (67.22925186157227, 52985), (68.52787208557129, 52985), (69.83527612686157, 52985), (71.08772611618042, 52985), (72.42094564437866, 52985), (73.6647596359253, 52985), (74.98518872261047, 52985), (76.28737711906433, 52985), (77.57408237457275, 52985), (78.86297369003296, 52985), (80.18129467964172, 52985), (81.45340633392334, 52985), (82.79561305046082, 52985), (84.1042206287384, 52985), (85.36651492118835, 52985), (86.68220067024231, 52985), (87.93934059143066, 52985), (89.24451780319214, 52985), (90.54932808876038, 52985), (91.81146883964539, 52985), (93.13838648796082, 52985), (94.45080375671387, 52985), (95.70629405975342, 52985), (97.01038026809692, 52985), (98.3834125995636, 52985), (99.64108347892761, 52985), (100.94432592391968, 52985), (102.23120760917664, 52985), (103.52256727218628, 52985), (104.8276994228363, 52985), (106.09007740020752, 52985), (107.42056035995483, 52985), (108.72762608528137, 52985), (109.97845578193665, 52985), (111.27472138404846, 52985), (112.61705255508423, 52985), (113.86609625816345, 52985), (115.1619348526001, 52985), (116.40601420402527, 52985), (117.72273206710815, 52985), (119.02646112442017, 52985)]",Greedy Best First
"(1000, 1000)",7,120.0,2.5,1.0,0.25,True,52985.0,0,True,"[(1.1287784576416016, 52985), (2.3170089721679688, 52985), (3.4708971977233887, 52985), (4.715419292449951, 52985), (5.940139293670654, 52985), (7.093422174453735, 52985), (8.382137298583984, 52985)]",AW-A*
