size,seed,max_time,w_start,w_end,w_step,manhattan,length,openings,found,solutions
"(1500, 1300)",7,120.0,3.0,1.0,0.25,False,12827.0,9750,True,"[(8.815266609191895, 12875), (18.320709466934204, 12875), (28.041131258010864, 12875), (38.24011182785034, 12875), (48.68394327163696, 12875), (59.287365674972534, 12827), (69.94771790504456, 12827), (80.5931830406189, 12827), (91.13248634338379, 12827)]"
"(1500, 1300)",7,120.0,3.0,1.0,0.5,True,12827.0,9750,True,"[(8.752618789672852, 12875), (18.48185706138611, 12875), (28.745649337768555, 12875), (39.171279191970825, 12827), (49.542208194732666, 12827)]"
"(1500, 1300)",7,120.0,3.0,1.0,0.5,False,12827.0,9750,True,"[(9.007519245147705, 12875), (18.630586624145508, 12875), (28.886820077896118, 12875), (39.346579790115356, 12827), (49.98504328727722, 12827)]"
"(2000, 2000)",7,0.2,2.0,1.0,0.25,True,inf,20000,False,[]
"(2000, 2000)",7,0.2,2.0,1.0,0.25,False,inf,20000,False,[]
"(2000, 2000)",7,0.2,2.0,1.0,0.5,True,inf,20000,False,[]
"(2000, 2000)",7,0.2,2.0,1.0,0.5,False,inf,20000,False,[]
"(2000, 2000)",7,1.0,2.0,1.0,0.25,True,inf,20000,False,[]
"(2000, 2000)",7,1.0,2.0,1.0,0.25,False,inf,20000,False,[]
"(2000, 2000)",7,1.0,2.0,1.0,0.5,True,inf,20000,False,[]
"(2000, 2000)",7,1.0,2.0,1.0,0.5,False,inf,20000,False,[]
"(2000, 2000)",7,3.0,2.0,1.0,0.25,True,inf,20000,False,[]
"(2000, 2000)",7,3.0,2.0,1.0,0.25,False,inf,20000,False,[]
"(2000, 2000)",7,3.0,2.0,1.0,0.5,True,inf,20000,False,[]
"(2000, 2000)",7,3.0,2.0,1.0,0.5,False,inf,20000,False,[]
"(2000, 2000)",7,30.0,2.0,1.0,0.25,True,16751.0,20000,True,"[(22.614391803741455, 16751)]"
"(2000, 2000)",7,30.0,2.0,1.0,0.25,False,16751.0,20000,True,"[(22.497612237930298, 16751)]"
"(2000, 2000)",7,30.0,2.0,1.0,0.5,True,16751.0,20000,True,"[(22.345357179641724, 16751)]"
"(2000, 2000)",7,30.0,2.0,1.0,0.5,False,16751.0,20000,True,"[(22.68411684036255, 16751)]"
"(2000, 2000)",7,60.0,2.0,1.0,0.25,True,16743.0,20000,True,"[(22.847615718841553, 16751), (47.64906692504883, 16743)]"
"(2000, 2000)",7,60.0,2.0,1.0,0.25,False,16743.0,20000,True,"[(22.873507976531982, 16751), (46.890085220336914, 16743)]"
"(2000, 2000)",7,60.0,2.0,1.0,0.5,True,16731.0,20000,True,"[(23.157870769500732, 16751), (48.13888430595398, 16731)]"
"(2000, 2000)",7,60.0,2.0,1.0,0.5,False,16731.0,20000,True,"[(23.287745475769043, 16751), (48.77538466453552, 16731)]"
"(2000, 2000)",7,120.0,2.0,1.0,0.25,True,16731.0,20000,True,"[(23.06649112701416, 16751), (47.632633209228516, 16743), (72.71211385726929, 16731), (98.49989628791809, 16731)]"
"(2000, 2000)",7,120.0,2.0,1.0,0.25,False,16731.0,20000,True,"[(23.054688930511475, 16751), (47.80142951011658, 16743), (72.95234537124634, 16731), (98.8361964225769, 16731)]"
"(2000, 2000)",7,120.0,2.0,1.0,0.5,True,16731.0,20000,True,"[(22.835195302963257, 16751), (48.0726215839386, 16731), (73.36688756942749, 16731)]"
